pattern,hier_cell,lut,ff,dsp,slr,bbox
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_3s_11_4_0_U1969,7,21,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_3s_11_4_0_U1978,7,21,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_3s_11_4_0_U1987,0,21,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_3s_11_4_0_U1996,7,21,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_4ns_12_4_0_U1932,16,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_4ns_12_4_0_U1941,16,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_4ns_12_4_0_U1950,19,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_4ns_12_4_0_U1959,19,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_4ns_12_4_0_U1968,19,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_4ns_12_4_0_U1977,19,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_4ns_12_4_0_U1986,16,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_4ns_12_4_0_U1995,19,22,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6ns_14_4_0_U1927,18,20,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6ns_14_4_0_U1936,0,20,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6ns_14_4_0_U1945,18,20,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6ns_14_4_0_U1954,18,20,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6ns_14_4_0_U1963,18,20,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6ns_14_4_0_U1972,18,20,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6ns_14_4_0_U1981,18,20,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6ns_14_4_0_U1990,18,20,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6s_14_4_0_U2000,171,27,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6s_14_4_0_U2006,158,27,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6s_14_4_0_U2012,171,27,0,"",""
l1_root_channel,grp_l1_root_channel_false_10_true_s_fu_3198/mul_8s_6s_14_4_0_U2018,171,27,0,"",""
